user,algo,precision,recall,f1
user10,decision_tree,0.44776119402985076,0.8108108108108109,0.5769230769230769
user11,decision_tree,0.375,0.075,0.12499999999999999
user16,decision_tree,0.2857142857142857,0.15,0.1967213114754098
user17,decision_tree,0.5,0.55,0.5238095238095238
user18,decision_tree,0.40625,0.7428571428571429,0.5252525252525253
user19,decision_tree,0.5063291139240507,1.0,0.6722689075630253
user21,decision_tree,0.4868421052631579,0.925,0.6379310344827587
user26,decision_tree,0.5333333333333333,0.6,0.5647058823529412
user27,decision_tree,0.4782608695652174,0.275,0.34920634920634924
user28,decision_tree,0.5555555555555556,1.0,0.7142857142857143
user29,decision_tree,0.4186046511627907,0.45,0.43373493975903615
user32,decision_tree,0.25806451612903225,0.2222222222222222,0.2388059701492537
user10,neural-net,0.4084507042253521,0.7837837837837838,0.5370370370370371
user11,neural-net,0.5714285714285714,0.1,0.1702127659574468
user16,neural-net,0.5483870967741935,0.425,0.47887323943661964
user17,neural-net,0.4461538461538462,0.725,0.5523809523809524
user18,neural-net,0.4666666666666667,1.0,0.6363636363636364
user19,neural-net,0.5063291139240507,1.0,0.6722689075630253
user21,neural-net,0.5,1.0,0.6666666666666666
user26,neural-net,0.4888888888888889,0.55,0.5176470588235293
user27,neural-net,0.5,0.025,0.047619047619047616
user28,neural-net,0.5,0.975,0.6610169491525423
user29,neural-net,0.5064935064935064,0.975,0.6666666666666666
user32,neural-net,0.5,0.8888888888888888,0.64
user10,svm,0.45454545454545453,0.9459459459459459,0.6140350877192983
user11,svm,0.3333333333333333,0.05,0.08695652173913045
user16,svm,0.6,0.225,0.3272727272727273
user17,svm,0.5,0.725,0.5918367346938775
user18,svm,0.45714285714285713,0.9142857142857143,0.6095238095238095
user19,svm,0.5063291139240507,1.0,0.6722689075630253
user21,svm,0.5063291139240507,1.0,0.6722689075630253
user26,svm,0.6842105263157895,0.325,0.4406779661016949
user27,svm,0.75,0.075,0.13636363636363635
user28,svm,0.5,0.825,0.6226415094339622
user29,svm,0.5147058823529411,0.875,0.6481481481481481
user32,svm,0.2564102564102564,0.2777777777777778,0.26666666666666666
